"","NSI","pi","piHC","piMetals"
"SWARM_38246",0,0,0,0
"SWARM_1279",0,0,0,0
"SWARM_4607",0,40.04,47.09,36.84
"SWARM_8585",0,0,0,46.86
"SWARM_8580",0,0,0,0
"SWARM_2601",0,64.08,0,53.15
"SWARM_2603",0,0,0,0
"SWARM_35463",0,0,0,0
"SWARM_3994",0,0,0,0
"SWARM_46144",0,0,0,0
"SWARM_29904",0,0,0,0
"SWARM_1397",0,0,0,0
"SWARM_1394",0,0,0,0
"SWARM_9981",0,0,0,0
"SWARM_28624",0,0,0,0
"SWARM_28625",0,0,0,0
"SWARM_29572",0,0,0,0
"SWARM_9676",0,0,0,0
"SWARM_22291",0,0,0,0
"SWARM_69635",0,0,0,0
"SWARM_36941",0,0,0,0
"SWARM_19400",0,0,0,0
"SWARM_10202",0,0,0,0
"SWARM_10205",0,0,0,0
"SWARM_15183",19.4,27.27,32.69,25
"SWARM_13729",0,0,0,0
"SWARM_13724",0,0,0,0
"SWARM_7255",0,0,0,0
"SWARM_7257",0,0,0,0
"SWARM_7879",0,0,0,0
"SWARM_18023",0,0,0,0
"SWARM_1845",98.78,0,0,0
"SWARM_23098",0,0,0,0
"SWARM_1459",0,0,0,0
"SWARM_1452",0,0,0,0
"SWARM_20549",0,0,0,0
"SWARM_33132",0,0,0,0
"SWARM_33610",0,0,0,0
"SWARM_21639",0,0,0,0
"SWARM_15068",0,0,0,0
"SWARM_5721",0,0,0,0
"SWARM_8058",0,0,0,0
"SWARM_17832",0,0,0,0
"SWARM_54103",0,0,0,0
"SWARM_6407",0,0,0,0
"SWARM_19494",0,0,0,0
"SWARM_11005",0,0,0,0
"SWARM_11006",0,0,0,0
"SWARM_21533",0,0,0,0
"SWARM_28708",0,0,0,0
"SWARM_14608",0,0,0,0
"SWARM_13373",0,0,0,0
"SWARM_16299",0,0,0,0
"SWARM_16293",0,0,0,0
"SWARM_4350",65.06,0,0,0
"SWARM_4359",0,0,0,0
"SWARM_5085",32.77,0,0,82.26
"SWARM_6198",0,0,0,0
"SWARM_8793",0,0,0,0
"SWARM_1644",0,0,0,0
"SWARM_27855",0,0,0,0
"SWARM_21868",0,0,0,0
"SWARM_23836",0,0,0,0
"SWARM_21093",0,0,0,0
"SWARM_25167",0,0,0,0
"SWARM_12926",0,0,0,0
"SWARM_19047",0,0,0,0
"SWARM_11695",0,0,0,0
"SWARM_68842",0,0,0,0
"SWARM_6019",0,33.46,38.07,46.56
"SWARM_35254",0,0,0,0
"SWARM_7762",0,0,0,0
"SWARM_10742",0,0,0,0
"SWARM_30998",0,0,0,0
"SWARM_25319",0,0,0,0
"SWARM_25315",0,0,0,0
"SWARM_20241",0,0,0,0
"SWARM_28095",0,0,0,0
"SWARM_16007",0,0,0,0
"SWARM_40006",0,0,0,0
"SWARM_40000",0,0,0,0
"SWARM_41754",0,0,0,0
"SWARM_11410",0,0,0,0
"SWARM_5210",0,0,0,0
"SWARM_1218",38.34,35.84,48.13,45.99
"SWARM_4193",0,0,0,0
"SWARM_16743",0,0,0,0
"SWARM_5248",0,65.94,35.46,45.59
"SWARM_5244",62.42,0,50.42,0
"SWARM_2730",0,0,0,30.65
"SWARM_22316",50.95,0,0,0
