"","NSI","piMetals","pi","piHC"
"SWARM_14081",NA,NA,NA,NA
"SWARM_14080",NA,NA,NA,NA
"SWARM_14088",NA,NA,NA,NA
"SWARM_5597",NA,NA,NA,NA
"SWARM_14550",NA,NA,NA,NA
"SWARM_347",14,3.10183382081281,3.5157965158046,3.66375
"SWARM_346",NA,NA,NA,NA
"SWARM_345",NA,NA,NA,NA
"SWARM_344",27.35,1.70553845101259,NA,NA
"SWARM_343",27.35,NA,NA,NA
"SWARM_342",NA,NA,NA,NA
"SWARM_341",23.1,0.115739600437876,0.168149250440917,0.282407407407407
"SWARM_340",NA,NA,NA,NA
"SWARM_349",26.22,NA,NA,NA
"SWARM_7689",NA,NA,NA,NA
"SWARM_7685",NA,NA,NA,NA
"SWARM_13025",NA,NA,NA,NA
"SWARM_12645",NA,NA,NA,NA
"SWARM_12641",NA,NA,NA,NA
"SWARM_7970",NA,NA,NA,NA
"SWARM_7977",NA,NA,NA,NA
"SWARM_23083",NA,NA,NA,NA
"SWARM_5380",NA,NA,NA,NA
"SWARM_10643",NA,NA,NA,NA
"SWARM_10645",NA,NA,NA,NA
"SWARM_10647",NA,NA,NA,NA
"SWARM_10646",NA,NA,NA,NA
"SWARM_4408",NA,NA,NA,NA
"SWARM_6319",NA,NA,NA,NA
"SWARM_6313",NA,NA,NA,NA
"SWARM_14949",NA,NA,NA,NA
"SWARM_6317",NA,NA,NA,NA
"SWARM_6316",NA,NA,NA,NA
"SWARM_2803",NA,NA,NA,NA
"SWARM_2802",NA,NA,NA,NA
"SWARM_2801",NA,NA,NA,NA
"SWARM_2800",NA,NA,NA,NA
"SWARM_2807",NA,NA,NA,NA
"SWARM_2806",NA,NA,NA,NA
"SWARM_5469",NA,NA,NA,NA
"SWARM_5460",NA,NA,NA,NA
"SWARM_5461",NA,NA,NA,NA
"SWARM_5463",NA,NA,NA,NA
"SWARM_5464",NA,NA,NA,NA
"SWARM_5466",NA,NA,NA,NA
"SWARM_5467",NA,NA,NA,NA
"SWARM_2119",NA,NA,NA,NA
"SWARM_2118",NA,NA,NA,NA
"SWARM_2115",NA,NA,NA,NA
"SWARM_2117",NA,NA,NA,NA
"SWARM_2116",NA,NA,NA,NA
"SWARM_4882",NA,NA,NA,NA
"SWARM_9979",NA,NA,NA,NA
"SWARM_9970",NA,NA,NA,NA
"SWARM_8378",NA,NA,NA,NA
"SWARM_8372",NA,NA,NA,NA
"SWARM_3447",NA,NA,NA,NA
"SWARM_3440",NA,NA,NA,NA
"SWARM_3442",NA,NA,NA,NA
"SWARM_3443",NA,NA,NA,NA
"SWARM_3448",NA,NA,NA,NA
"SWARM_3449",NA,NA,NA,NA
"SWARM_9398",NA,NA,NA,NA
"SWARM_3998",NA,NA,NA,NA
"SWARM_3999",NA,NA,NA,NA
"SWARM_3996",NA,NA,NA,NA
"SWARM_3994",NA,NA,NA,NA
"SWARM_3992",NA,NA,NA,NA
"SWARM_3993",NA,NA,NA,NA
"SWARM_3990",NA,NA,NA,NA
"SWARM_3991",NA,NA,NA,NA
"SWARM_8283",NA,NA,NA,NA
"SWARM_1590",23.165,NA,NA,NA
"SWARM_1593",27.44,1.57365216201423,0.688509358085508,NA
"SWARM_1594",NA,NA,NA,NA
"SWARM_1596",NA,NA,NA,NA
"SWARM_1597",27.35,2.7220620809387,3.64231080237411,0.347222222222222
"SWARM_1599",NA,NA,NA,NA
"SWARM_9020",NA,NA,NA,NA
"SWARM_9021",NA,NA,NA,NA
"SWARM_4656",NA,NA,NA,NA
"SWARM_26569",NA,NA,NA,NA
"SWARM_5527",NA,NA,NA,NA
"SWARM_26560",NA,NA,NA,NA
"SWARM_26567",NA,NA,NA,NA
"SWARM_18755",NA,NA,NA,NA
"SWARM_24894",NA,NA,NA,NA
