"","NSI","piMetals","pi","piHC"
"SWARM_11815",0,0,0,0
"SWARM_2191",0,0,0,0
"SWARM_2190",0,0,0,0
"SWARM_2192",0,0,0,0
"SWARM_2197",0,0,0,0
"SWARM_2196",0,0,0,0
"SWARM_2199",0,0,0,0
"SWARM_2198",0,0,0,0
"SWARM_5784",0,0,0,0
"SWARM_427",0,0,0,0
"SWARM_424",96.18,0,0,0
"SWARM_425",0,0,0,0
"SWARM_423",77.5,0,0,0
"SWARM_421",0,0,0,0
"SWARM_6476",0,0,0,0
"SWARM_6474",0,0,0,0
"SWARM_6475",0,0,0,0
"SWARM_6473",0,0,0,0
"SWARM_428",0,0,49.96,52.52
"SWARM_6328",0,0,0,0
"SWARM_1023",0,0,76.46,79.95
"SWARM_19955",0,0,0,0
"SWARM_10850",0,0,0,0
"SWARM_10851",0,0,0,0
"SWARM_12569",0,0,0,0
"SWARM_12564",0,0,0,0
"SWARM_12562",0,0,0,0
"SWARM_4785",0,0,0,0
"SWARM_1337",88.76,0,71.15,59.15
"SWARM_1331",80.41,0,0,0
"SWARM_1262",98.05,0,0,0
"SWARM_1260",45.87,43,44.29,0
"SWARM_1266",53.23,48.63,0,0
"SWARM_1267",0,0,0,0
"SWARM_1265",0,0,0,0
"SWARM_1268",0,0,0,0
"SWARM_1269",65,0,0,0
"SWARM_11038",0,0,0,0
"SWARM_11034",0,0,0,0
"SWARM_11030",0,0,0,0
"SWARM_4167",0,0,0,0
"SWARM_4164",0,0,0,0
"SWARM_4165",0,0,0,0
"SWARM_4162",0,0,0,0
"SWARM_4163",0,0,0,0
"SWARM_4160",0,0,0,0
"SWARM_4161",0,0,0,0
"SWARM_4169",0,0,0,0
"SWARM_3529",0,0,0,0
"SWARM_3528",0,0,0,0
"SWARM_8520",0,0,0,0
"SWARM_3325",0,0,0,0
